hashtag,n_before,p_before,odds_before,n_during,p_during,odds_during,log_odds_ratio
#edchatie,689,0.62,0.006234729888697855,983,1.4,0.01419494584837545,0.822750718666751
#physicsalevel,1638,1.47,0.014950575478500561,990,1.41,0.01429747411290672,-0.044666906438113246
#teacher,1739,1.56,0.015887082039101042,1047,1.49,0.015133119417223138,-0.048620647785008235
#teachingjobs,1240,1.12,0.011276930492274394,1070,1.52,0.015470699651547794,0.31618880034722086
#gcses,2132,1.92,0.019547617519506358,1121,1.6,0.016220048616738047,-0.18660536697962746
#edumtp,0,0,0,1251,1.78,0.0181351656953988,Inf
#secondaryrocks,856,0.77,0.007757628485721794,1354,1.93,0.019657660535141334,0.9297904314828972
#teamscience,1594,1.43,0.014543132156379727,1381,1.97,0.020057514669145415,0.3214850145611633
#everyweek,976,0.88,0.008854776226377436,1417,2.02,0.020591141594977914,0.843903963611577
#teachertwitter,555,0.5,0.005016087632406637,1423,2.03,0.020680133701496874,1.416523241121967
#selfie,978,0.88,0.00887308226200089,1429,2.03,0.020769141328992498,0.8504460662884012
#bebravewearpink,250,0.22,0.002253287546530388,1429,2.03,0.020769141328992498,2.2210780135525114
#edreform,1684,1.51,0.015376889010637811,1437,2.05,0.020887842316413743,0.30630161373866555
#cancerresearch,982,0.88,0.008909696326338042,1449,2.06,0.021065945568736914,0.8605176240062644
#educatorsinpink,983,0.88,0.008918850257675836,1450,2.06,0.021080790311559544,0.8601951706262202
#collabuae,249,0.22,0.002244254168544389,1454,2.07,0.02114017359949985,2.2428019452191403
#pinkshirtthursday,996,0.9,0.009037866482763626,1518,2.16,0.022091246452739577,0.8937583039429207
#sciencerevision,2341,2.11,0.02150508001249334,1542,2.2,0.02244835567978338,0.04292818096877527
#revision,2920,2.63,0.02696737132777362,1606,2.29,0.023401868069418744,-0.14181181467102943
#teachers,3511,3.16,0.032603446995022656,1934,2.75,0.02831666642264162,-0.14096746799452683
#teaching,3122,2.81,0.028886812180204856,1995,2.84,0.029235909610480965,0.012012569868052221
#physicsteaching,3469,3.12,0.03220087255174975,2096,2.98,0.030761553928115415,-0.04572788888309073
#nqt,2193,1.97,0.020118158633469718,2193,3.12,0.0322310405643739,0.47130715905807385
#physics,3585,3.22,0.03331350939468842,2222,3.16,0.032671185543515016,-0.019469488845557832
#womened,3661,3.29,0.034043779873161116,2551,3.63,0.037690966579001804,0.1017731128103166
#aqascience,3211,2.89,0.029734785346519983,2779,3.96,0.04119844634862276,0.3260829614098549
#edtech,7920,7.12,0.07668548301203536,2987,4.25,0.0444189988995628,-0.546045139676647
#primaryrocks,5760,5.18,0.05462874268534413,3127,4.45,0.04659791970911692,-0.1590042683475993
#ittchat,7414,6.67,0.07143614202437731,5054,7.2,0.0775403120637015,0.08199402469410993
#education,9289,8.35,0.09114905308605632,5180,7.38,0.07962738075107989,-0.13513809955896897
#science,8435,7.59,0.08208127359775796,6325,9.01,0.09897039494273017,0.18711086658643117
#nqtchat,10057,9.04,0.09943445848411145,6928,9.86,0.10943843298317668,0.09586341685179992
#sltchat,12238,11.01,0.12366487808328533,7897,11.24,0.12668441991786447,0.02412380058116851
#edutwitter,6859,6.17,0.06573701360935404,9811,13.97,0.16237463175664493,0.9042440672256572
#aussieed,12950,11.65,0.13180795733289907,9840,14.01,0.1629327902240326,0.2119917913143392
#edchat,29596,26.62,0.36268274450694216,13939,19.85,0.24761075780722633,-0.3816704818458125
