hashtag,n_before,p_before,odds_before,n_during,p_during,odds_during,log_odds_ratio
#edreform,8968,1.39,0.014094379536117634,7941,2.05,0.020955160548037748,0.39660883945345543
#science,13021,2.02,0.02059538553277373,8316,2.15,0.021966469172717835,0.06445011474046469
#highered,12702,1.97,0.020080689528699798,9100,2.35,0.024087264719039263,0.1819246326184161
#teachertwitter,2627,0.41,0.004087933360617344,9599,2.48,0.02544169798618584,1.8283499294349121
#onlinelearning,1635,0.25,0.0025403385564351363,9861,2.55,0.026154278681915596,2.3317154357666467
#suptchat,6824,1.06,0.010688787737341525,10225,2.64,0.027145921607357144,0.9320315010077945
#educhat,12309,1.91,0.01944731025482628,10230,2.64,0.027159556420460734,0.3340202002068664
#sel,6874,1.07,0.010767948669749488,10676,2.76,0.028377239731325273,0.9690133999832513
#learning,12285,1.9,0.019408656086829446,11392,2.94,0.030338134918415666,0.44668634273640784
#covid19,33,0.01,5.1145583578857966e-5,12608,3.26,0.03368556046862685,6.490148405653153
#edtechchat,10350,1.6,0.016301779807843756,12851,3.32,0.03435710428240679,0.7455345252153706
#elearning,12488,1.94,0.0197356984142537,12881,3.33,0.03444007144155803,0.5567916558209578
#aussieed,17044,2.64,0.027131227654622846,13098,3.39,0.03504059711874156,0.25582193052047786
#ukedchat,29363,4.55,0.047675953543425985,13767,3.56,0.03689638352728033,-0.2563136133446763
#teachers,27079,4.2,0.04380503129393,15732,4.07,0.04238591877918208,-0.03293247769530347
#distancelearning,16,0,2.4797205354956496e-5,17143,4.43,0.046363759296822175,7.533542423877605
#teaching,23927,3.71,0.03850976062370136,17970,4.64,0.04870935127384305,0.23495929774301472
#edutwitter,8545,1.32,0.013420657918502289,21442,5.54,0.0586727085163264,1.4751795315755298
#remotelearning,2,0,3.099583415988891e-6,22220,5.74,0.06093130009625061,9.886234560031916
#k12,27254,4.22,0.04410060906543085,29037,7.51,0.08114157650004471,0.609721893606489
#education,99722,15.45,0.18279904972796995,72591,18.76,0.23095939574040253,0.23385445847393993
#edtech,208369,32.29,0.4769468116031597,96599,24.97,0.3327626475228561,-0.3599755129606762
